令,líng,ling,2,人,lv1
令,lǐng,ling,3,人,lv1
令,lìng,ling,4,人,lv1
用,yòng,yong,4,用,lv1
甩,shuǎi,shuai,3,用,lv1
印,yìn,yin,4,卩,lv1
尔,ěr,er,3,小,lv1
乐,lè,le,4,丿,lv1
乐,yuè,yue,4,丿,lv1
乐,yào,yao,4,丿,lv1
乐,lào,lao,4,丿,lv1
句,jù,ju,4,口,lv1
句,gōu,gou,1,口,lv1
匆,cōng,cong,1,勹,lv1
册,cè,ce,4,丿,lv1
卯,mǎo,mao,3,卩,lv1
犯,fàn,fan,4,犭,lv1
外,wài,wai,4,夕,lv1
处,chǔ,chu,3,夂,lv1
处,chù,chu,4,夂,lv1
冬,dōng,dong,1,夂,lv1
鸟,niǎo,niao,3,鸟,lv1
务,wù,wu,4,力,lv1
包,bāo,bao,1,勹,lv1
饥,jī,ji,1,饣,lv1
主,zhǔ,zhu,3,丶,lv1
市,shì,shi,4,巾,lv1
立,lì,li,4,立,lv1
冯,féng,feng,2,冫,lv1
冯,píng,ping,2,冫,lv1
玄,xuán,xuan,2,玄,lv1
闪,shǎn,shan,3,门,lv1
兰,lán,lan,2,丷,lv1
半,bàn,ban,4,十,lv1
汁,zhī,zhi,1,氵,lv1
汇,huì,hui,4,氵,lv1
头,tóu,tou,2,大,lv1
头,tou,tou,0,大,lv1
汉,hàn,han,4,氵,lv1
宁,níng,ning,2,宀,lv1
宁,nìng,ning,4,宀,lv1
宁,zhù,zhu,4,宀,lv1
穴,xué,xue,2,穴,lv1
它,tā,ta,1,宀,lv1
讨,tǎo,tao,3,讠,lv1
写,xiě,xie,3,冖,lv1
让,ràng,rang,4,讠,lv1
礼,lǐ,li,3,礻,lv1
训,xùn,xun,4,讠,lv1
议,yì,yi,4,讠,lv1
必,bì,bi,4,心,lv1
讯,xùn,xun,4,讠,lv1
记,jì,ji,4,讠,lv1
永,yǒng,yong,3,水,lv1
司,sī,si,1,口,lv1
尼,ní,ni,2,尸,lv1
民,mín,min,2,乛,lv1
弗,fú,fu,2,弓,lv1
弘,hóng,hong,2,弓,lv1
出,chū,chu,1,凵,lv1
辽,liáo,liao,2,辶,lv1
奶,nǎi,nai,3,女,lv1
奴,nú,nu,2,女,lv1
召,zhào,zhao,4,口,lv1
召,shào,shao,4,口,lv1
加,jiā,jia,1,力,lv1
皮,pí,pi,2,皮,lv1
边,biān,bian,1,辶,lv1
孕,yùn,yun,4,子,lv1
发,fā,fa,1,又,lv1
发,fà,fa,4,又,lv1
圣,shèng,sheng,4,土,lv1
圣,kū,ku,1,土,lv1
对,duì,dui,4,寸,lv1
台,tái,tai,2,口,lv1
台,tāi,tai,1,口,lv1
矛,máo,mao,2,矛,lv1
纠,jiū,jiu,1,纟,lv1
母,mǔ,mu,3,母,lv1
幼,yòu,you,4,幺,lv1
丝,sī,si,1,一,lv1
邦,bāng,bang,1,阝,lv1
式,shì,shi,4,弋,lv1
迂,yū,yu,1,辶,lv1
刑,xíng,xing,2,刂,lv1
